Grid_Number,Del_n_Government_Facilities
2128,610.0
2129,659.0
2130,676.0
2131,710.0
2132,62.0
2133,78.0
2134,92.0
2135,79.0
2136,98.0
2137,101.0
2138,80.0
2139,59.0
2140,38.0
2141,168.0
2142,120.0
2143,86.0
2144,55.0
2145,39.0
2146,28.0
2147,20.0
2148,15.0
2149,20.0
2150,18.0
2151,17.0
2152,17.0
2153,17.0
2154,11.0
2155,15.0
2156,95.0
2157,105.0
2158,137.0
2159,131.0
2160,106.0
2161,108.0
2162,132.0
2163,158.0
2164,212.0
2165,283.0
2166,326.0
2167,58.0
2168,95.0
2169,112.0
2170,117.0
2171,113.0
2172,110.0
2173,614.0
2174,587.0
2175,597.0
2176,581.0
2177,70.0
2178,110.0
2179,119.0
2180,125.0
2181,104.0
2182,110.0
2183,118.0
2184,119.0
2185,130.0
2186,109.0
2187,104.0
2188,56.0
2189,42.0
2190,178.0
2191,121.0
2192,93.0
2193,60.0
2194,43.0
2195,27.0
2196,21.0
2197,16.0
2198,21.0
2199,18.0
2200,17.0
2201,18.0
2202,18.0
2203,12.0
2204,10.0
2205,109.0
2206,133.0
2207,151.0
2208,154.0
2209,145.0
2210,142.0
2211,159.0
2212,165.0
2213,208.0
2214,279.0
2215,48.0
2216,63.0
2217,82.0
2218,104.0
2219,490.0
2220,104.0
2221,89.0
2222,616.0
2223,568.0
2224,610.0
2225,559.0
2226,104.0
2227,146.0
2228,148.0
2229,152.0
2230,124.0
2231,111.0
2232,115.0
2233,115.0
2234,118.0
2235,104.0
2236,86.0
2237,291.0
2238,223.0
2239,170.0
2240,117.0
2241,87.0
2242,66.0
2243,42.0
2244,27.0
2245,21.0
2246,16.0
2247,22.0
2248,18.0
2249,18.0
2250,18.0
2251,19.0
2252,13.0
2253,5.0
2254,123.0
2255,137.0
2256,154.0
2257,161.0
2258,178.0
2259,162.0
2260,170.0
2261,186.0
2262,198.0
2263,67.0
2264,58.0
2265,56.0
2266,71.0
2267,75.0
2268,63.0
2269,61.0
2270,588.0
2271,540.0
2272,535.0
2273,574.0
2274,81.0
2275,102.0
2276,154.0
2277,154.0
2278,128.0
2279,119.0
2280,115.0
2281,105.0
2282,101.0
2283,94.0
2284,83.0
2285,341.0
2286,280.0
2287,226.0
2288,152.0
2289,103.0
2290,85.0
2291,63.0
2292,46.0
2293,27.0
2294,22.0
2295,14.0
2296,19.0
2297,19.0
2298,19.0
2299,19.0
2300,13.0
2301,11.0
2302,5.0
2303,125.0
2304,140.0
2305,153.0
2306,164.0
2307,182.0
2308,175.0
2309,179.0
2310,184.0
2311,185.0
2312,77.0
2313,77.0
2314,47.0
2315,49.0
2316,55.0
2317,53.0
2318,460.0
2319,474.0
2320,492.0
2321,493.0
2322,516.0
2323,106.0
2324,100.0
2325,98.0
2326,96.0
2327,95.0
2328,96.0
2329,103.0
2330,108.0
2331,104.0
2332,90.0
2333,71.0
2334,39.0
2335,260.0
2336,195.0
2337,122.0
2338,87.0
2339,70.0
2340,55.0
2341,43.0
2342,27.0
2343,21.0
2344,12.0
2345,18.0
2346,18.0
2347,19.0
2348,13.0
2349,11.0
2350,5.0
2351,5.0
2352,123.0
2353,141.0
2354,150.0
2355,164.0
2356,173.0
2357,176.0
2358,182.0
2359,181.0
2360,177.0
2361,204.0
2362,63.0
2363,253.0
2364,30.0
2365,38.0
2366,386.0
2367,413.0
2368,406.0
2369,432.0
2370,436.0
2371,420.0
2372,119.0
2373,81.0
2374,79.0
2375,76.0
2376,571.0
2377,84.0
2378,97.0
2379,123.0
2380,116.0
2381,74.0
2382,45.0
2383,16.0
2384,220.0
2385,147.0
2386,94.0
2387,72.0
2388,61.0
2389,49.0
2390,40.0
2391,22.0
2392,15.0
2393,10.0
2394,8.0
2395,18.0
2396,19.0
2397,18.0
2398,5.0
2399,5.0
2400,6.0
2401,121.0
2402,135.0
2403,149.0
2404,160.0
2405,161.0
2406,158.0
2407,174.0
2408,171.0
2409,168.0
2410,176.0
2411,47.0
2412,43.0
2413,232.0
2414,254.0
2415,299.0
2416,335.0
2417,336.0
2418,365.0
2419,375.0
2420,386.0
2421,115.0
2422,65.0
2423,71.0
2424,528.0
2425,499.0
2426,480.0
2427,438.0
2428,413.0
2429,389.0
2430,318.0
2431,292.0
2432,260.0
2433,162.0
2434,104.0
2435,70.0
2436,56.0
2437,51.0
2438,43.0
2439,28.0
2440,17.0
2441,12.0
2442,7.0
2443,6.0
2444,7.0
2445,17.0
2446,18.0
2447,12.0
2448,0.0
2449,11.0
2450,114.0
2451,126.0
2452,138.0
2453,148.0
2454,141.0
2455,125.0
2456,153.0
2457,156.0
2458,153.0
2459,147.0
2460,152.0
2461,170.0
2462,164.0
2463,196.0
2464,233.0
2465,285.0
2466,297.0
2467,314.0
2468,321.0
2469,339.0
2470,393.0
2471,46.0
2472,57.0
2473,384.0
2474,373.0
2475,365.0
2476,352.0
2477,341.0
2478,312.0
2479,249.0
2480,229.0
2481,207.0
2482,123.0
2483,67.0
2484,50.0
2485,38.0
2486,34.0
2487,25.0
2488,15.0
2489,9.0
2490,6.0
2491,6.0
2492,5.0
2493,6.0
2494,7.0
2495,12.0
2496,12.0
2497,10.0
2498,6.0
