Grid_Number,Gur_popu_Health
177,2859.0
178,1280.0
179,1819.0
180,6062.0
181,6062.0
182,6463.0
183,6463.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,-1.0
194,21214.0
195,21214.0
196,21214.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,3448.0
205,3448.0
206,3448.0
207,3448.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,2859.0
213,1280.0
214,4656.0
215,4656.0
216,6062.0
217,-1.0
218,-1.0
219,12171.0
220,12171.0
221,-1.0
222,-1.0
223,12902.0
224,-1.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,21214.0
231,7094.0
232,7094.0
233,8929.0
234,8929.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,3448.0
240,3448.0
241,3448.0
242,3448.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,-1.0
248,4656.0
249,4656.0
250,4656.0
251,-1.0
252,-1.0
253,12171.0
254,12171.0
255,12171.0
256,12171.0
257,12902.0
258,12902.0
259,12902.0
260,-1.0
261,6553.0
262,10521.0
263,10521.0
264,-1.0
265,-1.0
266,7094.0
267,7094.0
268,8929.0
269,8929.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,5468.0
275,5468.0
276,5468.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,12171.0
289,12171.0
290,12171.0
291,3804.0
292,2293.0
293,12902.0
294,12902.0
295,6553.0
296,6553.0
297,10521.0
298,10521.0
299,6362.0
300,6362.0
301,7094.0
302,7094.0
303,8929.0
304,8929.0
305,6069.0
306,6069.0
307,6069.0
308,-1.0
309,5468.0
310,5468.0
311,5468.0
312,4567.0
313,-1.0
314,-1.0
315,-1.0
316,-1.0
317,4209.0
318,4209.0
319,-1.0
320,-1.0
321,10311.0
322,10311.0
323,-1.0
324,11866.0
325,3804.0
326,3804.0
327,2293.0
328,1716.0
329,12902.0
330,6553.0
331,6553.0
332,6553.0
333,10521.0
334,6362.0
335,6362.0
336,6362.0
337,7094.0
338,8929.0
339,8929.0
340,6069.0
341,6069.0
342,6069.0
343,-1.0
344,5468.0
345,5468.0
346,4567.0
347,4567.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,4209.0
353,4209.0
354,4209.0
355,10311.0
356,10311.0
357,10311.0
358,10311.0
359,11866.0
360,11866.0
361,11866.0
362,2293.0
363,1716.0
364,4667.0
365,6010.0
366,6553.0
367,6553.0
368,5400.0
369,5400.0
370,6362.0
371,6362.0
372,1321.0
373,-1.0
374,-1.0
375,6069.0
376,6069.0
377,6069.0
378,-1.0
379,2537.0
380,2537.0
381,4567.0
382,4567.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,2663.0
388,4209.0
389,4209.0
390,10311.0
391,10311.0
392,10311.0
393,10311.0
394,11866.0
395,11866.0
396,11866.0
397,-1.0
398,4667.0
399,4667.0
400,6010.0
401,6010.0
402,-1.0
403,5400.0
404,5400.0
405,5400.0
406,1321.0
407,1321.0
408,1321.0
409,4882.0
410,4882.0
411,6069.0
412,-1.0
413,-1.0
414,2537.0
415,2537.0
416,2537.0
417,4567.0
418,2092.0
419,-1.0
420,-1.0
421,-1.0
422,2663.0
423,2663.0
424,8183.0
425,-1.0
426,4651.0
427,8605.0
428,-1.0
429,-1.0
430,11866.0
431,-1.0
432,3916.0
433,1706.0
434,1706.0
435,2627.0
436,6010.0
437,-1.0
438,5400.0
439,5400.0
440,5400.0
441,1321.0
442,1321.0
443,4882.0
444,4882.0
445,4882.0
446,-1.0
447,-1.0
448,-1.0
449,7934.0
450,7934.0
451,7934.0
452,2092.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,2663.0
458,8183.0
459,8183.0
460,4651.0
461,4651.0
462,8605.0
463,8605.0
464,-1.0
465,3194.0
466,3916.0
467,3916.0
468,2599.0
469,2870.0
470,762.0
471,2627.0
472,-1.0
473,5400.0
474,5400.0
475,5400.0
476,1321.0
477,1321.0
478,4882.0
479,4882.0
480,4882.0
481,4882.0
482,-1.0
483,-1.0
484,-1.0
485,7934.0
486,7934.0
487,2092.0
488,-1.0
489,-1.0
490,-1.0
491,6558.0
492,8183.0
493,8183.0
494,8183.0
495,4651.0
496,4651.0
497,8605.0
498,8605.0
499,-1.0
500,8056.0
501,3194.0
502,376.0
503,818.0
504,8554.0
505,8554.0
506,8554.0
507,-1.0
508,-1.0
509,-1.0
510,-1.0
511,-1.0
512,-1.0
513,6512.0
514,6512.0
515,6512.0
516,-1.0
517,-1.0
518,-1.0
519,-1.0
520,-1.0
521,-1.0
522,-1.0
523,-1.0
524,-1.0
525,-1.0
526,6558.0
527,2764.0
528,5311.0
529,8183.0
530,4651.0
531,4651.0
532,8605.0
533,-1.0
534,8056.0
535,8056.0
536,8056.0
537,607.0
538,3153.0
539,8554.0
540,8554.0
541,8554.0
542,4762.0
543,4762.0
544,1752.0
545,1752.0
546,-1.0
547,-1.0
548,6512.0
549,6512.0
550,6512.0
551,-1.0
552,-1.0
553,-1.0
554,-1.0
555,-1.0
556,-1.0
557,-1.0
558,-1.0
559,-1.0
560,97.0
561,793.0
562,4934.0
563,5311.0
564,5311.0
565,-1.0
566,-1.0
567,-1.0
568,-1.0
569,8056.0
570,8056.0
571,5758.0
572,3309.0
573,3153.0
574,8554.0
575,8554.0
576,4762.0
577,4762.0
578,4762.0
579,1752.0
580,1752.0
581,1752.0
582,-1.0
583,6512.0
584,6512.0
585,6512.0
586,-1.0
587,-1.0
588,-1.0
589,-1.0
590,-1.0
591,-1.0
592,-1.0
593,-1.0
594,-1.0
595,370.0
596,1747.0
597,4934.0
598,5311.0
599,3326.0
600,2840.0
601,-1.0
602,-1.0
603,-1.0
604,-1.0
605,8056.0
606,5758.0
607,5758.0
608,3309.0
609,-1.0
610,-1.0
611,4762.0
612,4762.0
613,4762.0
614,1752.0
615,1752.0
616,1752.0
617,-1.0
618,1336.0
619,1336.0
620,1336.0
621,-1.0
622,-1.0
623,-1.0
624,13142.0
625,7915.0
626,7915.0
627,7915.0
628,-1.0
629,-1.0
630,256.0
631,340.0
632,1455.0
633,1710.0
634,2840.0
635,2324.0
636,2324.0
637,6491.0
638,-1.0
639,2113.0
640,8029.0
641,8029.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,3469.0
647,3469.0
648,1302.0
649,1302.0
650,1752.0
651,1752.0
652,843.0
653,1336.0
654,1336.0
655,4064.0
656,4064.0
657,-1.0
658,-1.0
659,13142.0
660,13142.0
661,7915.0
662,7915.0
663,-1.0
664,-1.0
665,542.0
666,2399.0
667,1678.0
668,1710.0
669,2840.0
670,2324.0
671,6491.0
672,6491.0
673,3416.0
674,2113.0
675,8029.0
676,8029.0
677,6887.0
678,6887.0
679,1688.0
680,1688.0
681,3469.0
682,3469.0
683,1302.0
684,1302.0
685,2214.0
686,-1.0
687,843.0
688,843.0
689,241.0
690,3189.0
691,3189.0
692,-1.0
693,-1.0
694,13142.0
695,2772.0
696,2772.0
697,-1.0
698,-1.0
699,-1.0
700,206.0
701,597.0
702,1678.0
703,2019.0
704,2324.0
705,2324.0
706,6491.0
707,6491.0
708,3416.0
709,3416.0
710,865.0
711,865.0
712,6887.0
713,6887.0
714,1688.0
715,1688.0
716,1447.0
717,1374.0
718,2214.0
719,2214.0
720,2214.0
721,-1.0
722,843.0
723,843.0
724,3857.0
725,1819.0
726,3189.0
727,-1.0
728,-1.0
729,13142.0
730,2772.0
731,2772.0
732,-1.0
733,-1.0
734,-1.0
735,292.0
736,683.0
737,3633.0
738,2438.0
739,2438.0
740,225.0
741,2152.0
742,2152.0
743,3731.0
744,3416.0
745,592.0
746,351.0
747,6887.0
748,6887.0
749,152.0
750,1688.0
751,1447.0
752,1447.0
753,5864.0
754,5864.0
755,2333.0
756,2333.0
757,843.0
758,843.0
759,3857.0
760,1819.0
761,-1.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,2038.0
772,2498.0
773,2438.0
774,2438.0
775,1521.0
776,2152.0
777,2152.0
778,3731.0
779,3731.0
780,351.0
781,351.0
782,6887.0
783,152.0
784,152.0
785,152.0
786,986.0
787,5864.0
788,5864.0
789,5864.0
790,2333.0
791,2333.0
792,2333.0
793,-1.0
794,-1.0
795,-1.0
796,-1.0
797,-1.0
798,-1.0
799,357.0
800,736.0
801,2924.0
802,2924.0
803,-1.0
804,-1.0
805,-1.0
806,3427.0
807,3427.0
808,2438.0
809,1521.0
810,1521.0
811,1521.0
812,564.0
813,147.0
814,474.0
815,2480.0
816,6954.0
817,163.0
818,320.0
819,1385.0
820,986.0
821,501.0
822,501.0
823,5864.0
824,4671.0
825,4671.0
826,2333.0
827,2333.0
828,6019.0
829,6019.0
830,-1.0
831,-1.0
832,-1.0
833,1716.0
834,30.0
835,1165.0
836,2924.0
837,-1.0
838,-1.0
839,-1.0
840,-1.0
841,2240.0
842,8194.0
843,8194.0
844,-1.0
845,1521.0
846,1521.0
847,564.0
848,3442.0
849,2272.0
850,2480.0
851,6954.0
852,163.0
853,320.0
854,1385.0
855,1460.0
856,1460.0
857,11195.0
858,11195.0
859,4671.0
860,511.0
861,511.0
862,6019.0
863,6019.0
864,6019.0
865,-1.0
866,-1.0
867,-1.0
868,56.0
869,56.0
870,595.0
871,-1.0
872,-1.0
873,-1.0
874,-1.0
875,-1.0
876,2776.0
877,3325.0
878,8194.0
879,-1.0
880,-1.0
881,-1.0
882,3442.0
883,3442.0
884,2272.0
885,6954.0
886,6954.0
887,912.0
888,151.0
889,76.0
890,76.0
891,8370.0
892,11195.0
893,11195.0
894,665.0
895,665.0
896,511.0
897,6019.0
898,6019.0
899,6019.0
900,-1.0
901,-1.0
902,317.0
903,628.0
904,3184.0
905,3184.0
906,-1.0
907,-1.0
908,-1.0
909,-1.0
910,-1.0
911,2776.0
912,3325.0
913,11129.0
914,8343.0
915,8343.0
916,-1.0
917,-1.0
918,-1.0
919,1221.0
920,556.0
921,4061.0
922,112.0
923,112.0
924,76.0
925,76.0
926,8370.0
927,2680.0
928,1320.0
929,2476.0
930,665.0
931,1449.0
932,3238.0
933,3238.0
934,-1.0
935,1345.0
936,1345.0
937,317.0
938,628.0
939,851.0
940,3184.0
941,-1.0
942,-1.0
943,-1.0
944,-1.0
945,-1.0
946,-1.0
947,11129.0
948,11129.0
949,8343.0
950,8343.0
951,8343.0
952,-1.0
953,-1.0
954,1221.0
955,1221.0
956,556.0
957,1633.0
958,1633.0
959,2914.0
960,2914.0
961,3944.0
962,1716.0
963,1320.0
964,2476.0
965,617.0
966,1449.0
967,3238.0
968,3238.0
969,162.0
970,1345.0
971,1345.0
972,118.0
973,851.0
974,851.0
975,-1.0
976,-1.0
977,-1.0
978,-1.0
979,-1.0
980,-1.0
981,-1.0
982,11129.0
983,11129.0
984,5394.0
985,5394.0
986,5394.0
987,2323.0
988,2323.0
989,1221.0
990,1221.0
991,1316.0
992,1633.0
993,1633.0
994,512.0
995,1971.0
996,9855.0
997,5909.0
998,3385.0
999,2163.0
1000,2206.0
1001,2206.0
1002,2919.0
1003,2919.0
1004,162.0
1005,162.0
1006,1345.0
1007,3443.0
1008,120.0
1009,120.0
1010,-1.0
1011,-1.0
1012,-1.0
1013,-1.0
1014,-1.0
1015,-1.0
1016,9251.0
1017,9251.0
1018,9251.0
1019,5394.0
1020,5394.0
1021,6436.0
1022,6436.0
1023,2323.0
1024,2384.0
1025,2384.0
1026,2155.0
1027,2155.0
1028,2457.0
1029,512.0
1030,1242.0
1031,7200.0
1032,8493.0
1033,568.0
1034,719.0
1035,1054.0
1036,322.0
1037,886.0
1038,2303.0
1039,168.0
1040,168.0
1041,1345.0
1042,3443.0
1043,924.0
1044,924.0
1045,-1.0
1046,-1.0
1047,-1.0
1048,-1.0
1049,-1.0
1050,-1.0
1051,2502.0
1052,9251.0
1053,9251.0
1054,-1.0
1055,6436.0
1056,6436.0
1057,6436.0
1058,2726.0
1059,2323.0
1060,2384.0
1061,2155.0
1062,2424.0
1063,2457.0
1064,1776.0
1065,840.0
1066,3372.0
1067,5249.0
1068,342.0
1069,1286.0
1070,224.0
1071,1542.0
1072,176.0
1073,1189.0
1074,1461.0
1075,864.0
1076,-1.0
1077,924.0
1078,924.0
1079,924.0
1080,924.0
1081,-1.0
1082,1926.0
1083,1926.0
1084,-1.0
1085,769.0
1086,1047.0
1087,1376.0
1088,5128.0
1089,5128.0
1090,-1.0
1091,6436.0
1092,3911.0
1093,2726.0
1094,15437.0
1095,15437.0
1096,2424.0
1097,2424.0
1098,2457.0
1099,4069.0
1100,5905.0
1101,594.0
1102,2801.0
1103,1935.0
1104,770.0
1105,739.0
1106,65.0
1107,2518.0
1108,2518.0
1109,527.0
1110,451.0
1111,2126.0
1112,2126.0
1113,924.0
1114,924.0
1115,-1.0
1116,2648.0
1117,528.0
1118,1926.0
1119,-1.0
1120,-1.0
1121,467.0
1122,2478.0
1123,5128.0
1124,5128.0
1125,1246.0
1126,3422.0
1127,3911.0
1128,3911.0
1129,15437.0
1130,15437.0
1131,15437.0
1132,2424.0
1133,6005.0
1134,6005.0
1135,3636.0
1136,1424.0
1137,3266.0
1138,467.0
1139,139.0
1140,123.0
1141,85.0
1142,3638.0
1143,3638.0
1144,527.0
1145,1628.0
1146,33.0
1147,2126.0
1148,1988.0
1149,-1.0
1150,1048.0
1151,2648.0
1152,2648.0
1153,1926.0
1154,-1.0
1155,-1.0
1156,2365.0
1157,2365.0
1158,2806.0
1159,2806.0
1160,9026.0
1161,1843.0
1162,3422.0
1163,765.0
1164,15437.0
1165,15437.0
1166,15437.0
1167,-1.0
1168,7226.0
1169,7226.0
1170,6922.0
1171,6922.0
1172,4568.0
1173,2337.0
1174,355.0
1175,628.0
1176,130.0
1177,3638.0
1178,3638.0
1179,1780.0
1180,1628.0
1181,33.0
1182,1988.0
1183,1988.0
1184,619.0
1185,1048.0
1186,1048.0
1187,1435.0
1188,1435.0
1189,-1.0
1190,-1.0
1191,-1.0
1192,8426.0
1193,8426.0
1194,2806.0
1195,9026.0
1196,9026.0
1197,597.0
1198,3416.0
1199,3416.0
1200,33938.0
1201,33938.0
1202,4530.0
1203,4530.0
1204,7226.0
1205,2213.0
1206,640.0
1207,665.0
1208,2337.0
1209,1453.0
1210,156.0
1211,6.0
1212,6.0
1213,73.0
1214,1780.0
1215,293.0
1216,760.0
1217,1025.0
1218,619.0
1219,944.0
1220,2338.0
1221,1048.0
1222,73.0
1223,329.0
1224,-1.0
1225,-1.0
1226,-1.0
1227,8426.0
1228,8426.0
1229,8426.0
1230,9026.0
1231,9026.0
1232,6555.0
1233,6555.0
1234,6555.0
1235,33938.0
1236,33938.0
1237,4530.0
1238,4530.0
1239,4530.0
1240,647.0
1241,665.0
1242,665.0
1243,1582.0
1244,7125.0
1245,890.0
1246,1413.0
1247,4285.0
1248,1830.0
1249,1019.0
1250,631.0
1251,1170.0
1252,3608.0
1253,506.0
1254,944.0
1255,905.0
1256,2338.0
1257,2108.0
1258,329.0
1259,-1.0
1260,-1.0
1261,-1.0
1262,-1.0
1263,8426.0
1264,-1.0
1265,-1.0
1266,17155.0
1267,17155.0
1268,17155.0
1269,-1.0
1270,33938.0
1271,33938.0
1272,33938.0
1273,4530.0
1274,647.0
1275,647.0
1276,918.0
1277,112.0
1278,4348.0
1279,1582.0
1280,3419.0
1281,1131.0
1282,4285.0
1283,5165.0
1284,264.0
1285,1676.0
1286,671.0
1287,3608.0
1288,1141.0
1289,1838.0
1290,653.0
1291,653.0
1292,2108.0
1293,2108.0
1294,-1.0
1295,-1.0
1296,-1.0
1297,-1.0
1298,-1.0
1299,-1.0
1300,-1.0
1301,17155.0
1302,17155.0
1303,27434.0
1304,27434.0
1305,33938.0
1306,33938.0
1307,33938.0
1308,-1.0
1309,647.0
1310,918.0
1311,268.0
1312,268.0
1313,4348.0
1314,4348.0
1315,341.0
1316,5512.0
1317,10902.0
1318,790.0
1319,934.0
1320,1455.0
1321,1236.0
1322,727.0
1323,2461.0
1324,1615.0
1325,809.0
1326,836.0
1327,1083.0
1328,5623.0
1329,-1.0
1330,-1.0
1331,-1.0
1332,-1.0
1333,-1.0
1334,-1.0
1335,-1.0
1336,17155.0
1337,27434.0
1338,27434.0
1339,27434.0
1340,-1.0
1341,-1.0
1342,-1.0
1343,1395.0
1344,1395.0
1345,1395.0
1346,268.0
1347,4234.0
1348,4234.0
1349,454.0
1350,14.0
1351,4805.0
1352,7837.0
1353,2903.0
1354,311.0
1355,2057.0
1356,585.0
1357,2741.0
1358,1099.0
1359,1025.0
1360,3321.0
1361,166.0
1362,698.0
1363,5623.0
1364,-1.0
1365,-1.0
1366,-1.0
1367,-1.0
1368,-1.0
1369,-1.0
1370,-1.0
1371,-1.0
1372,27434.0
1373,27434.0
1374,27434.0
1375,-1.0
1376,-1.0
1377,-1.0
1378,1395.0
1379,1395.0
1380,1395.0
1381,4114.0
1382,4234.0
1383,652.0
1384,838.0
1385,14.0
1386,762.0
1387,849.0
1388,2082.0
1389,591.0
1390,844.0
1391,2257.0
1392,2359.0
1393,1086.0
1394,1804.0
1395,1020.0
1396,2813.0
1397,3048.0
1398,5623.0
1399,678.0
1400,-1.0
1401,-1.0
1402,-1.0
1403,-1.0
1404,-1.0
1405,-1.0
1406,-1.0
1407,-1.0
1408,-1.0
1409,-1.0
1410,-1.0
1411,-1.0
1412,-1.0
1413,-1.0
1414,1395.0
1415,4114.0
1416,4114.0
1417,378.0
1418,1412.0
1419,791.0
1420,2779.0
1421,1063.0
1422,1715.0
1423,557.0
1424,926.0
1425,1132.0
1426,2734.0
1427,1294.0
1428,1571.0
1429,1834.0
1430,2055.0
1431,161.0
1432,656.0
1433,4150.0
1434,4150.0
1435,-1.0
1436,-1.0
1437,-1.0
1438,-1.0
1439,11632.0
1440,17937.0
1441,17937.0
1442,17937.0
1443,-1.0
1444,-1.0
1445,-1.0
1446,-1.0
1447,-1.0
1448,0.0
1449,0.0
1450,0.0
1451,378.0
1452,378.0
1453,1826.0
1454,505.0
1455,1324.0
1456,718.0
1457,2241.0
1458,207.0
1459,1062.0
1460,1121.0
1461,1504.0
1462,696.0
1463,923.0
1464,862.0
1465,803.0
1466,1443.0
1467,2056.0
1468,400.0
1469,-1.0
1470,-1.0
1471,-1.0
1472,6568.0
1473,6466.0
1474,11632.0
1475,17937.0
1476,17937.0
1477,17937.0
1478,9406.0
1479,9198.0
1480,4041.0
1481,4041.0
1482,6069.0
1483,1090.0
1484,0.0
1485,363.0
1486,1609.0
1487,2670.0
1488,901.0
1489,1111.0
1490,1997.0
1491,1288.0
1492,1214.0
1493,835.0
1494,1423.0
1495,1551.0
1496,2533.0
1497,1392.0
1498,2241.0
1499,2620.0
1500,1052.0
1501,379.0
1502,1945.0
1503,2992.0
1504,-1.0
1505,-1.0
1506,2502.0
1507,2502.0
1508,1588.0
1509,944.0
1510,4320.0
1511,17937.0
1512,17937.0
1513,9406.0
1514,9198.0
1515,4041.0
1516,4041.0
1517,6069.0
1518,2623.0
1519,1090.0
1520,1939.0
1521,1948.0
1522,1044.0
1523,1044.0
1524,1862.0
1525,1041.0
1526,1270.0
1527,1312.0
1528,621.0
1529,1500.0
1530,537.0
1531,606.0
1532,2208.0
1533,2575.0
1534,4989.0
1535,487.0
1536,213.0
1537,738.0
1538,-1.0
1539,-1.0
1540,-1.0
1541,-1.0
1542,-1.0
1543,1887.0
1544,2288.0
1545,729.0
1546,4248.0
1547,9406.0
1548,9406.0
1549,9198.0
1550,5354.0
1551,5354.0
1552,6069.0
1553,2623.0
1554,2623.0
1555,979.0
1556,106.0
1557,2979.0
1558,1173.0
1559,1008.0
1560,1760.0
1561,2489.0
1562,267.0
1563,1289.0
1564,961.0
1565,2347.0
1566,1807.0
1567,1857.0
1568,1411.0
1569,5552.0
1570,1135.0
1571,1783.0
1572,2558.0
1573,-1.0
1574,-1.0
1575,-1.0
1576,-1.0
1577,-1.0
1578,5628.0
1579,5628.0
1580,4551.0
1581,4248.0
1582,-1.0
1583,9406.0
1584,9406.0
1585,5354.0
1586,5354.0
1587,5354.0
1588,3582.0
1589,3582.0
1590,1642.0
1591,2979.0
1592,6009.0
1593,1173.0
1594,720.0
1595,515.0
1596,1131.0
1597,509.0
1598,965.0
1599,766.0
1600,593.0
1601,3095.0
1602,1417.0
1603,1639.0
1604,1313.0
1605,1001.0
1606,3333.0
1607,414.0
1608,4104.0
1609,-1.0
1610,-1.0
1611,-1.0
1612,-1.0
1613,-1.0
1614,7752.0
1615,7752.0
1616,7752.0
1617,-1.0
1618,-1.0
1619,-1.0
1620,5354.0
1621,5354.0
1622,12198.0
1623,12198.0
1624,3582.0
1625,3649.0
1626,6009.0
1627,3474.0
1628,3474.0
1629,720.0
1630,2018.0
1631,4082.0
1632,417.0
1633,790.0
1634,1459.0
1635,2024.0
1636,1983.0
1637,503.0
1638,2389.0
1639,523.0
1640,4650.0
1641,6538.0
1642,19867.0
1643,-1.0
1644,-1.0
1645,-1.0
1646,-1.0
1647,-1.0
1648,-1.0
1649,7752.0
1650,7752.0
1651,1732.0
1652,10752.0
1653,-1.0
1654,-1.0
1655,-1.0
1656,-1.0
1657,12198.0
1658,12198.0
1659,12198.0
1660,3649.0
1661,3649.0
1662,3474.0
1663,2722.0
1664,5726.0
1665,2018.0
1666,1972.0
1667,1754.0
1668,2269.0
1669,598.0
1670,2136.0
1671,614.0
1672,107.0
1673,1852.0
1674,236.0
1675,1794.0
1676,4200.0
1677,19867.0
1678,8567.0
1679,-1.0
1680,-1.0
1681,-1.0
1682,-1.0
1683,-1.0
1684,7752.0
1685,7752.0
1686,1732.0
1687,10752.0
1688,10752.0
1689,-1.0
1690,-1.0
1691,-1.0
1692,-1.0
1693,12198.0
1694,12198.0
1695,3649.0
1696,3649.0
1697,2722.0
1698,3665.0
1699,3665.0
1700,10168.0
1701,10168.0
1702,3032.0
1703,480.0
1704,1860.0
1705,2136.0
1706,1037.0
1707,5413.0
1708,0.0
1709,0.0
1710,4552.0
1711,3099.0
1712,10389.0
1713,15819.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,-1.0
1719,-1.0
1720,1732.0
1721,1732.0
1722,10752.0
1723,10752.0
1724,-1.0
1725,-1.0
1726,-1.0
1727,-1.0
1728,-1.0
1729,-1.0
1730,-1.0
1731,-1.0
1732,-1.0
1733,3665.0
1734,3665.0
1735,2100.0
1736,2100.0
1737,2100.0
1738,560.0
1739,560.0
1740,7032.0
1741,7032.0
1742,13853.0
1743,2909.0
1744,2909.0
1745,607.0
1746,4552.0
1747,520.0
1748,1934.0
1749,419.0
1750,-1.0
1751,-1.0
1752,-1.0
1753,-1.0
1754,-1.0
1755,8156.0
1756,1311.0
1757,1311.0
1758,1311.0
1759,-1.0
1760,-1.0
1761,-1.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,-1.0
1766,-1.0
1767,-1.0
1768,-1.0
1769,-1.0
1770,2100.0
1771,2100.0
1772,810.0
1773,810.0
1774,8846.0
1775,8846.0
1776,7032.0
1777,1128.0
1778,5274.0
1779,3971.0
1780,607.0
1781,621.0
1782,297.0
1783,1890.0
1784,-1.0
1785,-1.0
1786,-1.0
1787,-1.0
1788,-1.0
1789,8156.0
1790,8156.0
1791,8156.0
1792,1311.0
1793,1311.0
1794,-1.0
1795,-1.0
1796,-1.0
1797,-1.0
1798,-1.0
1799,-1.0
1800,-1.0
1801,-1.0
1802,-1.0
1803,-1.0
1804,-1.0
1805,9986.0
1806,5302.0
1807,5177.0
1808,3558.0
1809,3629.0
1810,8846.0
1811,7701.0
1812,5905.0
1813,8633.0
1814,6064.0
1815,1619.0
1816,478.0
1817,909.0
1818,511.0
1819,-1.0
1820,-1.0
1821,-1.0
1822,-1.0
1823,-1.0
1824,-1.0
1825,8156.0
1826,8156.0
1827,5627.0
1828,5627.0
1829,-1.0
1830,1811.0
1831,-1.0
1832,-1.0
1833,-1.0
1834,-1.0
1835,-1.0
1836,-1.0
1837,-1.0
1838,-1.0
1839,-1.0
1840,9986.0
1841,9986.0
1842,5177.0
1843,10187.0
1844,8995.0
1845,10754.0
1846,6979.0
1847,13738.0
1848,6251.0
1849,4574.0
1850,5609.0
1851,2944.0
1852,1074.0
1853,577.0
1854,-1.0
1855,-1.0
1856,-1.0
1857,-1.0
1858,-1.0
1859,-1.0
1860,-1.0
1861,5627.0
1862,5627.0
1863,5627.0
1864,1811.0
1865,1811.0
1866,5031.0
1867,5031.0
1868,-1.0
1869,-1.0
1870,-1.0
1871,-1.0
1872,-1.0
1873,-1.0
1874,-1.0
1875,9986.0
1876,9986.0
1877,9986.0
1878,17778.0
1879,17778.0
1880,13531.0
1881,17558.0
1882,8967.0
1883,5104.0
1884,908.0
1885,279.0
1886,2215.0
1887,2003.0
1888,1904.0
1889,-1.0
1890,-1.0
1891,-1.0
1892,-1.0
1893,-1.0
1894,-1.0
1895,-1.0
1896,5627.0
1897,5627.0
1898,5627.0
1899,1811.0
1900,1811.0
1901,5031.0
