Grid_Number,Mum_popu_Utilities
177,18234.0
178,-1.0
179,-1.0
180,10603.0
181,11717.0
182,15293.0
183,14612.0
184,23704.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,15909.0
194,9554.0
195,13229.0
196,3017.0
197,5880.0
198,23245.0
199,33385.0
200,24062.0
201,13219.0
202,5607.0
203,23.0
204,-1.0
205,32961.0
206,9705.0
207,12572.0
208,5629.0
209,2318.0
210,10700.0
211,9364.0
212,23694.0
213,12294.0
214,9624.0
215,1300.0
216,12893.0
217,-1.0
218,-1.0
219,19046.0
220,5485.0
221,15447.0
222,3543.0
223,4194.0
224,7088.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,28256.0
232,20940.0
233,9434.0
234,2895.0
235,12642.0
236,8611.0
237,18931.0
238,9461.0
239,28204.0
240,4676.0
241,7334.0
242,970.0
243,4351.0
244,5424.0
245,3307.0
246,15580.0
247,4253.0
248,17081.0
249,27276.0
250,24987.0
251,3753.0
252,5365.0
253,5763.0
254,5759.0
255,3854.0
256,13539.0
257,3388.0
258,17483.0
259,5863.0
260,12322.0
261,8619.0
262,10883.0
263,-1.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,30106.0
272,19803.0
273,15526.0
274,19345.0
275,12825.0
276,9714.0
277,11621.0
278,7397.0
279,8620.0
280,5896.0
281,12093.0
282,12324.0
283,10478.0
284,7260.0
285,7321.0
286,23097.0
287,13769.0
288,4162.0
289,2269.0
290,3614.0
291,3098.0
292,17834.0
293,8560.0
294,3450.0
295,13496.0
296,19868.0
297,11043.0
298,8855.0
299,6912.0
300,8012.0
301,7577.0
302,-1.0
303,-1.0
304,-1.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,26012.0
313,-1.0
314,23155.0
315,16411.0
316,17406.0
317,13123.0
318,11533.0
319,3800.0
320,21736.0
321,12927.0
322,25418.0
323,18952.0
324,38350.0
325,22680.0
326,16335.0
327,14099.0
328,6976.0
329,35704.0
330,21246.0
331,9268.0
332,16393.0
333,9402.0
334,21698.0
335,18532.0
336,13758.0
337,8032.0
338,12508.0
339,8724.0
340,18332.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,43410.0
355,6031.0
356,7988.0
357,15505.0
358,14202.0
359,8524.0
360,15931.0
361,20136.0
362,30694.0
363,29785.0
364,14333.0
365,10375.0
366,16670.0
367,25539.0
368,9449.0
369,19022.0
370,11219.0
371,6631.0
372,5162.0
373,9985.0
374,5206.0
375,12248.0
376,8193.0
377,10791.0
378,5873.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,-1.0
391,-1.0
392,93258.0
393,11571.0
394,38557.0
395,23395.0
396,24484.0
397,11127.0
398,4192.0
399,22599.0
400,18466.0
401,41360.0
402,12924.0
403,18278.0
404,9463.0
405,3536.0
406,9449.0
407,9750.0
408,5162.0
409,3716.0
410,19598.0
411,7368.0
412,8569.0
413,7923.0
414,7001.0
415,1923.0
416,6298.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,-1.0
430,-1.0
431,50761.0
432,64605.0
433,60200.0
434,27919.0
435,18443.0
436,25949.0
437,7925.0
438,9656.0
439,12790.0
440,6429.0
441,16939.0
442,-1.0
443,-1.0
444,30104.0
445,2528.0
446,11280.0
447,-1.0
448,-1.0
449,3231.0
450,-1.0
451,-1.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,-1.0
468,-1.0
469,79853.0
470,16656.0
471,9700.0
472,6110.0
473,16269.0
474,22160.0
475,16133.0
476,8604.0
477,8344.0
478,11654.0
479,18787.0
480,8136.0
481,6873.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
491,-1.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,-1.0
505,-1.0
506,-1.0
507,262392.0
508,18447.0
509,16751.0
510,12705.0
511,19245.0
512,7644.0
513,3750.0
514,4198.0
515,16100.0
516,5762.0
517,11531.0
518,11559.0
519,-1.0
520,-1.0
521,151.0
522,-1.0
523,-1.0
524,0.0
525,0.0
526,134.0
527,38.0
528,0.0
529,0.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,-1.0
541,-1.0
542,-1.0
543,-1.0
544,-1.0
545,-1.0
546,21303.0
547,37945.0
548,4319.0
549,18723.0
550,24262.0
551,70437.0
552,31830.0
553,15732.0
554,8868.0
555,19480.0
556,11660.0
557,14023.0
558,-1.0
559,151.0
560,-1.0
561,-1.0
562,-1.0
563,-1.0
564,-1.0
565,38.0
566,-1.0
567,-1.0
568,-1.0
569,-1.0
570,-1.0
571,1773.0
572,-1.0
573,-1.0
574,-1.0
575,-1.0
576,-1.0
577,-1.0
578,-1.0
579,-1.0
580,-1.0
581,-1.0
582,-1.0
583,-1.0
584,-1.0
585,10290.0
586,21565.0
587,2146.0
588,26845.0
589,-1.0
590,-1.0
591,58999.0
592,5719.0
593,15231.0
594,17771.0
595,15419.0
596,13230.0
597,16993.0
598,-1.0
599,-1.0
600,-1.0
601,-1.0
602,-1.0
603,-1.0
604,0.0
605,0.0
606,-1.0
607,-1.0
608,-1.0
609,-1.0
610,-1.0
611,-1.0
612,-1.0
613,-1.0
614,-1.0
615,-1.0
616,-1.0
617,-1.0
618,-1.0
619,-1.0
620,-1.0
621,-1.0
622,-1.0
623,26021.0
624,15111.0
625,17649.0
626,-1.0
627,-1.0
628,-1.0
629,17318.0
630,14160.0
631,14383.0
632,23994.0
633,6662.0
634,7196.0
635,7366.0
636,12958.0
637,26153.0
638,909.0
639,-1.0
640,-1.0
641,-1.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,-1.0
655,-1.0
656,-1.0
657,-1.0
658,-1.0
659,-1.0
660,26895.0
661,26021.0
662,71652.0
663,-1.0
664,-1.0
665,-1.0
666,-1.0
667,-1.0
668,-1.0
669,32468.0
670,44020.0
671,35415.0
672,42005.0
673,62270.0
674,17413.0
675,19178.0
676,9946.0
677,3114.0
678,454.0
679,-1.0
680,-1.0
681,-1.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,-1.0
690,-1.0
691,-1.0
692,-1.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,-1.0
698,-1.0
699,-1.0
700,-1.0
701,-1.0
702,-1.0
703,-1.0
704,-1.0
705,-1.0
706,-1.0
707,-1.0
708,-1.0
709,41122.0
710,-1.0
711,14085.0
712,16352.0
713,5992.0
714,9708.0
715,4127.0
716,2426.0
717,2511.0
718,2511.0
719,-1.0
720,-1.0
721,-1.0
722,-1.0
723,-1.0
724,-1.0
725,-1.0
726,-1.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,-1.0
737,-1.0
738,-1.0
739,-1.0
740,-1.0
741,-1.0
742,-1.0
743,-1.0
744,-1.0
745,-1.0
746,-1.0
747,-1.0
748,-1.0
749,59383.0
750,26762.0
751,11318.0
752,9922.0
753,6593.0
754,10548.0
755,12202.0
756,7591.0
757,-1.0
758,1836.0
759,9468.0
760,-1.0
761,-1.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,-1.0
778,-1.0
779,-1.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,-1.0
786,-1.0
787,-1.0
788,29679.0
789,5760.0
790,3960.0
791,2881.0
792,14617.0
793,9626.0
794,11314.0
795,8258.0
796,4354.0
797,-1.0
798,-1.0
799,-1.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,-1.0
807,-1.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,-1.0
813,-1.0
814,-1.0
815,-1.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,-1.0
825,-1.0
826,-1.0
827,9611.0
828,-1.0
829,-1.0
830,11405.0
831,3579.0
832,-1.0
833,3671.0
834,-1.0
835,-1.0
