Grid_Number,Ban_popu_Government_Facilities
176,-1.0
177,-1.0
178,-1.0
179,-1.0
180,-1.0
181,-1.0
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,-1.0
213,-1.0
214,-1.0
215,-1.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-1.0
222,-1.0
223,-1.0
224,-1.0
225,13915.0
226,13915.0
227,13915.0
228,688.0
229,7890.0
230,-1.0
231,-1.0
232,-1.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,16369.0
244,16369.0
245,-1.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,9563.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,3393.0
279,-1.0
280,-1.0
281,5749.0
282,14808.0
283,-1.0
284,13915.0
285,13915.0
286,7399.0
287,7399.0
288,7890.0
289,7890.0
290,-1.0
291,-1.0
292,-1.0
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,-1.0
301,-1.0
302,16369.0
303,16369.0
304,16369.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,9563.0
310,9563.0
311,3640.0
312,-1.0
313,-1.0
314,-1.0
315,-1.0
316,-1.0
317,-1.0
318,-1.0
319,-1.0
320,-1.0
321,-1.0
322,-1.0
323,-1.0
324,-1.0
325,-1.0
326,-1.0
327,-1.0
328,-1.0
329,-1.0
330,-1.0
331,3928.0
332,3928.0
333,3928.0
334,3928.0
335,-1.0
336,-1.0
337,3393.0
338,3393.0
339,-1.0
340,5749.0
341,14808.0
342,14808.0
343,-1.0
344,7399.0
345,7399.0
346,7890.0
347,7890.0
348,7890.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,-1.0
357,-1.0
358,-1.0
359,-1.0
360,-1.0
361,16369.0
362,16369.0
363,16369.0
364,-1.0
365,-1.0
366,-1.0
367,-1.0
368,9563.0
369,965.0
370,6378.0
371,6378.0
372,-1.0
373,-1.0
374,-1.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,1202.0
380,1202.0
381,1202.0
382,1202.0
383,-1.0
384,-1.0
385,1022.0
386,1022.0
387,1022.0
388,-1.0
389,-1.0
390,3928.0
391,3928.0
392,3928.0
393,3928.0
394,-1.0
395,-1.0
396,3393.0
397,3393.0
398,1151.0
399,2745.0
400,14808.0
401,6134.0
402,6193.0
403,-1.0
404,7399.0
405,7890.0
406,7890.0
407,7890.0
408,-1.0
409,-1.0
410,-1.0
411,-1.0
412,-1.0
413,-1.0
414,-1.0
415,-1.0
416,-1.0
417,-1.0
418,-1.0
419,-1.0
420,16369.0
421,16369.0
422,-1.0
423,-1.0
424,-1.0
425,6678.0
426,2581.0
427,3433.0
428,6378.0
429,6378.0
430,16814.0
431,16814.0
432,-1.0
433,-1.0
434,-1.0
435,-1.0
436,-1.0
437,-1.0
438,1202.0
439,1202.0
440,1202.0
441,1202.0
442,201.0
443,201.0
444,1022.0
445,1022.0
446,1022.0
447,-1.0
448,-1.0
449,-1.0
450,3928.0
451,3928.0
452,-1.0
453,-1.0
454,-1.0
455,3393.0
456,4130.0
457,5281.0
458,1060.0
459,1127.0
460,6193.0
461,6193.0
462,6193.0
463,14465.0
464,14465.0
465,-1.0
466,-1.0
467,-1.0
468,-1.0
469,-1.0
470,-1.0
471,-1.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,-1.0
477,-1.0
478,-1.0
479,-1.0
480,-1.0
481,-1.0
482,6804.0
483,6678.0
484,6678.0
485,2581.0
486,3433.0
487,3433.0
488,16814.0
489,16814.0
490,16814.0
491,-1.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,399.0
498,1202.0
499,1202.0
500,201.0
501,201.0
502,201.0
503,154.0
504,531.0
505,1150.0
506,-1.0
507,-1.0
508,4943.0
509,4943.0
510,-1.0
511,-1.0
512,-1.0
513,-1.0
514,4130.0
515,4130.0
516,4130.0
517,265.0
518,1449.0
519,6193.0
520,6193.0
521,14465.0
522,14465.0
523,14465.0
524,-1.0
525,-1.0
526,-1.0
527,-1.0
528,-1.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,6804.0
541,6804.0
542,6804.0
543,6678.0
544,6678.0
545,12403.0
546,12403.0
547,16814.0
548,16814.0
549,16814.0
550,-1.0
551,-1.0
552,-1.0
553,-1.0
554,-1.0
555,-1.0
556,399.0
557,399.0
558,399.0
559,201.0
560,201.0
561,201.0
562,154.0
563,154.0
564,18712.0
565,18712.0
566,4943.0
567,4943.0
568,4943.0
569,4943.0
570,-1.0
571,-1.0
572,1306.0
573,1306.0
574,3536.0
575,1757.0
576,1004.0
577,1004.0
578,6193.0
579,6193.0
580,2664.0
581,2664.0
582,14465.0
583,14465.0
584,-1.0
585,-1.0
586,-1.0
587,-1.0
588,-1.0
589,-1.0
590,-1.0
591,-1.0
592,-1.0
593,-1.0
594,-1.0
595,-1.0
596,-1.0
597,-1.0
598,-1.0
599,6804.0
600,6804.0
601,6804.0
602,6804.0
603,12403.0
604,12403.0
605,12403.0
606,-1.0
607,16814.0
608,-1.0
609,-1.0
610,-1.0
611,7329.0
612,7329.0
613,7329.0
614,-1.0
615,358.0
616,358.0
617,358.0
618,-1.0
619,201.0
620,201.0
621,154.0
622,18712.0
623,18712.0
624,18712.0
625,4943.0
626,4943.0
627,4943.0
628,4943.0
629,-1.0
630,2395.0
631,2395.0
632,1306.0
633,3336.0
634,3955.0
635,3955.0
636,-1.0
637,-1.0
638,-1.0
639,2664.0
640,2664.0
641,2664.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,4845.0
655,4845.0
656,-1.0
657,-1.0
658,-1.0
659,6804.0
660,6804.0
661,-1.0
662,5149.0
663,5149.0
664,-1.0
665,-1.0
666,-1.0
667,-1.0
668,741.0
669,741.0
670,7329.0
671,7329.0
672,1587.0
673,2031.0
674,2031.0
675,358.0
676,358.0
677,-1.0
678,-1.0
679,-1.0
680,-1.0
681,18712.0
682,18712.0
683,18712.0
684,2540.0
685,2540.0
686,2540.0
687,-1.0
688,2395.0
689,2395.0
690,1651.0
691,1306.0
692,10556.0
693,3890.0
694,1954.0
695,3672.0
696,3672.0
697,-1.0
698,-1.0
699,2664.0
700,-1.0
701,-1.0
702,-1.0
703,-1.0
704,-1.0
705,-1.0
706,-1.0
707,-1.0
708,-1.0
709,-1.0
710,-1.0
711,-1.0
712,-1.0
713,4845.0
714,4845.0
715,-1.0
716,-1.0
717,-1.0
718,-1.0
719,-1.0
720,5149.0
721,5149.0
722,5149.0
723,5149.0
724,-1.0
725,-1.0
726,-1.0
727,741.0
728,741.0
729,723.0
730,723.0
731,1135.0
732,2031.0
733,2441.0
734,2441.0
735,329.0
736,329.0
737,-1.0
738,-1.0
739,-1.0
740,-1.0
741,22753.0
742,4408.0
743,4408.0
744,2540.0
745,2540.0
746,-1.0
747,-1.0
748,2395.0
749,1651.0
750,15986.0
751,15986.0
752,10556.0
753,1954.0
754,3672.0
755,3672.0
756,3672.0
757,-1.0
758,-1.0
759,-1.0
760,-1.0
761,-1.0
762,-1.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,4494.0
772,4494.0
773,4494.0
774,-1.0
775,-1.0
776,-1.0
777,-1.0
778,-1.0
779,5149.0
780,5149.0
781,5149.0
782,5149.0
783,-1.0
784,-1.0
785,-1.0
786,741.0
787,741.0
788,741.0
789,723.0
790,1135.0
791,1824.0
792,2441.0
793,329.0
794,329.0
795,329.0
796,2143.0
797,5202.0
798,5202.0
799,4335.0
800,4335.0
801,22753.0
802,1071.0
803,1071.0
804,1071.0
805,-1.0
806,-1.0
807,9322.0
808,9322.0
809,21194.0
810,11090.0
811,11090.0
812,1954.0
813,1954.0
814,3672.0
815,-1.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,-1.0
825,-1.0
826,-1.0
827,-1.0
828,-1.0
829,890.0
830,592.0
831,14329.0
832,-1.0
833,-1.0
834,-1.0
835,-1.0
836,-1.0
837,-1.0
838,-1.0
839,5149.0
840,155.0
841,155.0
842,155.0
843,-1.0
844,-1.0
845,741.0
846,741.0
847,-1.0
848,1098.0
849,1164.0
850,1164.0
851,1164.0
852,3576.0
853,3576.0
854,2143.0
855,2143.0
856,5202.0
857,5202.0
858,4335.0
859,4335.0
860,5189.0
861,6246.0
862,836.0
863,2232.0
864,-1.0
865,6923.0
866,6923.0
867,9322.0
868,6364.0
869,1663.0
870,1663.0
871,-1.0
872,-1.0
873,-1.0
874,-1.0
875,6354.0
876,6354.0
877,-1.0
878,-1.0
879,-1.0
880,-1.0
881,-1.0
882,-1.0
883,-1.0
884,-1.0
885,-1.0
886,-1.0
887,-1.0
888,-1.0
889,163.0
890,14329.0
891,-1.0
892,-1.0
893,-1.0
894,7516.0
895,7516.0
896,7516.0
897,-1.0
898,155.0
899,155.0
900,155.0
901,155.0
902,-1.0
903,-1.0
904,291.0
905,291.0
906,291.0
907,1098.0
908,1098.0
909,1147.0
910,1720.0
911,3576.0
912,3576.0
913,435.0
914,2143.0
915,19598.0
916,8789.0
917,10359.0
918,10568.0
919,12759.0
920,2938.0
921,2232.0
922,2232.0
923,7385.0
924,6923.0
925,6923.0
926,8714.0
927,3525.0
928,1663.0
929,2517.0
930,1008.0
931,2023.0
932,2023.0
933,6354.0
934,6354.0
935,5350.0
936,5350.0
937,-1.0
938,-1.0
939,-1.0
940,-1.0
941,-1.0
942,-1.0
943,-1.0
944,-1.0
945,-1.0
946,-1.0
947,-1.0
948,14329.0
949,14329.0
950,-1.0
951,-1.0
952,-1.0
953,7516.0
954,7516.0
955,7516.0
956,-1.0
957,-1.0
958,155.0
959,155.0
960,155.0
961,-1.0
962,-1.0
963,291.0
964,291.0
965,291.0
966,1098.0
967,1098.0
968,1147.0
969,2422.0
970,1720.0
971,1465.0
972,629.0
973,720.0
974,8789.0
975,3831.0
976,10359.0
977,10568.0
978,10530.0
979,7803.0
980,10124.0
981,7385.0
982,16934.0
983,16934.0
984,19793.0
985,19793.0
986,5135.0
987,5135.0
988,2386.0
989,968.0
990,2023.0
991,1530.0
992,1530.0
993,460.0
994,5350.0
995,117.0
996,449.0
997,-1.0
998,-1.0
999,-1.0
1000,-1.0
1001,-1.0
1002,-1.0
1003,-1.0
1004,-1.0
1005,-1.0
1006,-1.0
1007,-1.0
1008,-1.0
1009,-1.0
1010,-1.0
1011,-1.0
1012,7516.0
1013,8919.0
1014,8919.0
1015,584.0
1016,584.0
1017,940.0
1018,940.0
1019,274.0
1020,1673.0
1021,208.0
1022,208.0
1023,208.0
1024,291.0
1025,969.0
1026,969.0
1027,969.0
1028,2422.0
1029,2422.0
1030,796.0
1031,1236.0
1032,15074.0
1033,12101.0
1034,7970.0
1035,2828.0
1036,10675.0
1037,2509.0
1038,22724.0
1039,16730.0
1040,9162.0
1041,16934.0
1042,24226.0
1043,19320.0
1044,15684.0
1045,17237.0
1046,15316.0
1047,1802.0
1048,1119.0
1049,1200.0
1050,1530.0
1051,1833.0
1052,1833.0
1053,117.0
1054,449.0
1055,449.0
1056,1661.0
1057,-1.0
1058,-1.0
1059,-1.0
1060,-1.0
1061,-1.0
1062,-1.0
1063,-1.0
1064,-1.0
1065,-1.0
1066,-1.0
1067,-1.0
1068,-1.0
1069,-1.0
1070,-1.0
1071,8919.0
1072,8919.0
1073,8919.0
1074,584.0
1075,584.0
1076,940.0
1077,940.0
1078,593.0
1079,1673.0
1080,191.0
1081,208.0
1082,105.0
1083,678.0
1084,969.0
1085,969.0
1086,969.0
1087,1567.0
1088,1567.0
1089,1283.0
1090,754.0
1091,761.0
1092,1198.0
1093,11479.0
1094,16377.0
1095,9569.0
1096,8489.0
1097,21206.0
1098,10985.0
1099,8985.0
1100,11718.0
1101,22398.0
1102,3224.0
1103,5878.0
1104,13606.0
1105,6767.0
1106,8259.0
1107,1200.0
1108,1200.0
1109,1200.0
1110,1833.0
1111,2080.0
1112,393.0
1113,449.0
1114,1661.0
1115,1661.0
1116,1661.0
1117,-1.0
1118,-1.0
1119,-1.0
1120,-1.0
1121,-1.0
1122,-1.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,-1.0
1129,-1.0
1130,-1.0
1131,8919.0
1132,8919.0
1133,584.0
1134,584.0
1135,940.0
1136,455.0
1137,593.0
1138,1673.0
1139,659.0
1140,258.0
1141,678.0
1142,678.0
1143,969.0
1144,969.0
1145,1547.0
1146,1547.0
1147,1180.0
1148,2322.0
1149,458.0
1150,3683.0
1151,4843.0
1152,18501.0
1153,24555.0
1154,10759.0
1155,6367.0
1156,10421.0
1157,8727.0
1158,4587.0
1159,8716.0
1160,9316.0
1161,9519.0
1162,16086.0
1163,10724.0
1164,12874.0
1165,12874.0
1166,3156.0
1167,3156.0
1168,1667.0
1169,1667.0
1170,-1.0
1171,393.0
1172,393.0
1173,1661.0
1174,1661.0
1175,1661.0
1176,-1.0
1177,-1.0
1178,-1.0
1179,-1.0
1180,-1.0
1181,-1.0
1182,-1.0
1183,-1.0
1184,-1.0
1185,-1.0
1186,-1.0
1187,-1.0
1188,-1.0
1189,-1.0
1190,-1.0
1191,-1.0
1192,20199.0
1193,20199.0
1194,3436.0
1195,3436.0
1196,455.0
1197,659.0
1198,659.0
1199,659.0
1200,678.0
1201,2767.0
1202,2767.0
1203,366.0
1204,366.0
1205,1205.0
1206,1447.0
1207,1264.0
1208,607.0
1209,1878.0
1210,20542.0
1211,18094.0
1212,19839.0
1213,18204.0
1214,15278.0
1215,12309.0
1216,10291.0
1217,7918.0
1218,15150.0
1219,7608.0
1220,33614.0
1221,13266.0
1222,12929.0
1223,25354.0
1224,12874.0
1225,3156.0
1226,1479.0
1227,1667.0
1228,1667.0
1229,-1.0
1230,-1.0
1231,-1.0
1232,-1.0
1233,3035.0
1234,3035.0
1235,3035.0
1236,5092.0
1237,-1.0
1238,-1.0
1239,-1.0
1240,-1.0
1241,-1.0
1242,-1.0
1243,-1.0
1244,-1.0
1245,-1.0
1246,-1.0
1247,-1.0
1248,-1.0
1249,-1.0
1250,20199.0
1251,20199.0
1252,20199.0
1253,3436.0
1254,3436.0
1255,3436.0
1256,-1.0
1257,-1.0
1258,-1.0
1259,2767.0
1260,2767.0
1261,1952.0
1262,1202.0
1263,366.0
1264,741.0
1265,766.0
1266,1016.0
1267,3267.0
1268,780.0
1269,9587.0
1270,4309.0
1271,14056.0
1272,10695.0
1273,5952.0
1274,10579.0
1275,6483.0
1276,2887.0
1277,16876.0
1278,19230.0
1279,27812.0
1280,18770.0
1281,2911.0
1282,25354.0
1283,9521.0
1284,9748.0
1285,1479.0
1286,1667.0
1287,1667.0
1288,-1.0
1289,-1.0
1290,-1.0
1291,-1.0
1292,3035.0
1293,3035.0
1294,5092.0
1295,5092.0
1296,5092.0
1297,-1.0
1298,-1.0
1299,-1.0
1300,-1.0
1301,-1.0
1302,-1.0
1303,-1.0
1304,-1.0
1305,-1.0
1306,-1.0
1307,-1.0
1308,-1.0
1309,20199.0
1310,20199.0
1311,20199.0
1312,3436.0
1313,3436.0
1314,3436.0
1315,-1.0
1316,-1.0
1317,-1.0
1318,-1.0
1319,1045.0
1320,1045.0
1321,1633.0
1322,1201.0
1323,745.0
1324,303.0
1325,994.0
1326,11656.0
1327,4291.0
1328,11160.0
1329,10381.0
1330,8410.0
1331,4661.0
1332,4994.0
1333,5419.0
1334,9019.0
1335,3487.0
1336,13972.0
1337,17851.0
1338,14463.0
1339,17858.0
1340,6248.0
1341,6248.0
1342,14066.0
1343,5185.0
1344,3215.0
1345,3215.0
1346,-1.0
1347,1375.0
1348,1375.0
1349,1375.0
1350,2139.0
1351,3035.0
1352,3035.0
1353,5092.0
1354,5092.0
1355,-1.0
1356,-1.0
1357,-1.0
1358,-1.0
1359,-1.0
1360,-1.0
1361,-1.0
1362,-1.0
1363,-1.0
1364,-1.0
1365,-1.0
1366,-1.0
1367,-1.0
1368,-1.0
1369,20199.0
1370,20199.0
1371,-1.0
1372,3436.0
1373,-1.0
1374,-1.0
1375,-1.0
1376,-1.0
1377,-1.0
1378,1045.0
1379,1045.0
1380,1042.0
1381,1299.0
1382,1024.0
1383,1419.0
1384,763.0
1385,2626.0
1386,4716.0
1387,2503.0
1388,13515.0
1389,6672.0
1390,13338.0
1391,10851.0
1392,680.0
1393,21740.0
1394,4957.0
1395,9668.0
1396,3747.0
1397,13107.0
1398,4386.0
1399,16242.0
1400,7951.0
1401,21854.0
1402,12213.0
1403,3215.0
1404,9935.0
1405,9935.0
1406,1375.0
1407,1375.0
1408,2139.0
1409,6586.0
1410,1118.0
1411,10024.0
1412,5092.0
1413,5092.0
1414,-1.0
1415,-1.0
1416,-1.0
1417,-1.0
1418,-1.0
1419,-1.0
1420,-1.0
1421,-1.0
1422,-1.0
1423,-1.0
1424,-1.0
1425,-1.0
1426,-1.0
1427,-1.0
1428,-1.0
1429,-1.0
1430,-1.0
1431,5721.0
1432,5721.0
1433,6030.0
1434,6030.0
1435,-1.0
1436,-1.0
1437,5054.0
1438,5054.0
1439,1338.0
1440,435.0
1441,1607.0
1442,890.0
1443,874.0
1444,1084.0
1445,9730.0
1446,6670.0
1447,10080.0
1448,10743.0
1449,12423.0
1450,16315.0
1451,15797.0
1452,5744.0
1453,8105.0
1454,9592.0
1455,7653.0
1456,17400.0
1457,19597.0
1458,11764.0
1459,11946.0
1460,687.0
1461,12213.0
1462,11121.0
1463,9935.0
1464,9935.0
1465,13924.0
1466,13924.0
1467,3488.0
1468,6586.0
1469,10024.0
1470,10024.0
1471,-1.0
1472,-1.0
1473,-1.0
1474,-1.0
1475,-1.0
1476,-1.0
1477,-1.0
1478,-1.0
1479,-1.0
1480,-1.0
1481,-1.0
1482,-1.0
1483,-1.0
1484,-1.0
1485,-1.0
1486,-1.0
1487,-1.0
1488,-1.0
1489,5721.0
1490,5721.0
1491,5721.0
1492,6030.0
1493,6030.0
1494,1699.0
1495,2192.0
1496,1494.0
1497,1145.0
1498,1049.0
1499,1353.0
1500,417.0
1501,256.0
1502,446.0
1503,5121.0
1504,517.0
1505,4229.0
1506,5911.0
1507,7637.0
1508,1176.0
1509,2106.0
1510,4353.0
1511,7902.0
1512,2007.0
1513,13382.0
1514,4423.0
1515,15539.0
1516,3758.0
1517,5257.0
1518,9303.0
1519,13513.0
1520,8665.0
1521,6655.0
1522,9934.0
1523,26876.0
1524,13924.0
1525,2449.0
1526,2449.0
1527,4376.0
1528,4376.0
1529,4376.0
1530,-1.0
1531,-1.0
1532,-1.0
1533,-1.0
1534,-1.0
1535,-1.0
1536,-1.0
1537,-1.0
1538,-1.0
1539,-1.0
1540,-1.0
1541,-1.0
1542,-1.0
1543,-1.0
1544,-1.0
1545,-1.0
1546,-1.0
1547,-1.0
1548,-1.0
1549,5721.0
1550,2592.0
1551,7014.0
1552,2945.0
1553,1699.0
1554,2546.0
1555,2192.0
1556,1834.0
1557,928.0
1558,1582.0
1559,619.0
1560,817.0
1561,166.0
1562,1846.0
1563,1672.0
1564,2189.0
1565,3927.0
1566,1929.0
1567,8738.0
1568,1173.0
1569,9433.0
1570,12041.0
1571,13057.0
1572,5039.0
1573,3955.0
1574,10523.0
1575,2511.0
1576,2717.0
1577,13370.0
1578,13513.0
1579,2799.0
1580,17973.0
1581,26876.0
1582,12980.0
1583,12980.0
1584,2449.0
1585,2449.0
1586,4376.0
1587,4376.0
1588,-1.0
1589,-1.0
1590,-1.0
1591,-1.0
1592,-1.0
1593,-1.0
1594,-1.0
1595,-1.0
1596,-1.0
1597,-1.0
1598,-1.0
1599,-1.0
1600,-1.0
1601,-1.0
1602,-1.0
1603,-1.0
1604,-1.0
1605,12857.0
1606,12857.0
1607,-1.0
1608,-1.0
1609,7014.0
1610,7014.0
1611,2945.0
1612,1699.0
1613,2546.0
1614,371.0
1615,1786.0
1616,629.0
1617,890.0
1618,345.0
1619,763.0
1620,248.0
1621,192.0
1622,766.0
1623,9658.0
1624,3717.0
1625,8048.0
1626,1645.0
1627,1235.0
1628,8687.0
1629,2219.0
1630,4581.0
1631,3459.0
1632,11783.0
1633,10573.0
1634,8095.0
1635,3863.0
1636,3317.0
1637,12173.0
1638,1949.0
1639,15286.0
1640,7154.0
1641,12980.0
1642,12980.0
1643,2449.0
1644,21737.0
1645,21737.0
1646,-1.0
1647,-1.0
1648,-1.0
1649,-1.0
1650,-1.0
1651,-1.0
1652,-1.0
1653,-1.0
1654,-1.0
1655,-1.0
1656,-1.0
1657,-1.0
1658,-1.0
1659,-1.0
1660,-1.0
1661,-1.0
1662,-1.0
1663,12857.0
1664,12857.0
1665,12857.0
1666,6943.0
1667,6943.0
1668,-1.0
1669,4942.0
1670,3626.0
1671,3626.0
1672,1393.0
1673,1393.0
1674,1808.0
1675,1724.0
1676,525.0
1677,795.0
1678,672.0
1679,193.0
1680,833.0
1681,808.0
1682,5312.0
1683,5102.0
1684,3674.0
1685,2004.0
1686,3289.0
1687,4218.0
1688,4740.0
1689,19498.0
1690,8885.0
1691,19245.0
1692,1157.0
1693,8984.0
1694,6880.0
1695,2314.0
1696,13528.0
1697,5715.0
1698,3553.0
1699,7154.0
1700,8137.0
1701,7270.0
1702,19192.0
1703,21737.0
1704,21737.0
1705,21737.0
1706,-1.0
1707,-1.0
1708,-1.0
1709,-1.0
1710,-1.0
1711,-1.0
1712,-1.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,-1.0
1719,-1.0
1720,-1.0
1721,-1.0
1722,12857.0
1723,12857.0
1724,12857.0
1725,4088.0
1726,6943.0
1727,8392.0
1728,8392.0
1729,4942.0
1730,1706.0
1731,1706.0
1732,1584.0
1733,935.0
1734,1623.0
1735,1105.0
1736,418.0
1737,607.0
1738,812.0
1739,160.0
1740,87.0
1741,493.0
1742,2401.0
1743,10757.0
1744,868.0
1745,12980.0
1746,7040.0
1747,5940.0
1748,15129.0
1749,7861.0
1750,21766.0
1751,1326.0
1752,5712.0
1753,13919.0
1754,10468.0
1755,13528.0
1756,10626.0
1757,10975.0
1758,13705.0
1759,13705.0
1760,19192.0
1761,19192.0
1762,22671.0
1763,21737.0
1764,21737.0
1765,-1.0
1766,-1.0
1767,-1.0
1768,-1.0
1769,-1.0
1770,-1.0
1771,-1.0
1772,-1.0
1773,-1.0
1774,-1.0
1775,-1.0
1776,-1.0
1777,-1.0
1778,-1.0
1779,-1.0
1780,-1.0
1781,4151.0
1782,1541.0
1783,3836.0
1784,2904.0
1785,5924.0
1786,8392.0
1787,8392.0
1788,6019.0
1789,1706.0
1790,3723.0
1791,3723.0
1792,1736.0
1793,717.0
1794,367.0
1795,555.0
1796,592.0
1797,311.0
1798,396.0
1799,3313.0
1800,6168.0
1801,1950.0
1802,22733.0
1803,5182.0
1804,8477.0
1805,9113.0
1806,22545.0
1807,6205.0
1808,6412.0
1809,6380.0
1810,964.0
1811,944.0
1812,4835.0
1813,5486.0
1814,6066.0
1815,10626.0
1816,17075.0
1817,10090.0
1818,10090.0
1819,19192.0
1820,7864.0
1821,7864.0
1822,22279.0
1823,4550.0
1824,4550.0
1825,35557.0
1826,35557.0
1827,-1.0
1828,-1.0
1829,-1.0
1830,-1.0
1831,-1.0
1832,-1.0
1833,-1.0
1834,-1.0
1835,-1.0
1836,-1.0
1837,-1.0
1838,-1.0
1839,-1.0
1840,5500.0
1841,2556.0
1842,4939.0
1843,4784.0
1844,2381.0
1845,8392.0
1846,6019.0
1847,6019.0
1848,6019.0
1849,3723.0
1850,1171.0
1851,397.0
1852,882.0
1853,654.0
1854,734.0
1855,1577.0
1856,326.0
1857,5637.0
1858,5560.0
1859,1227.0
1860,1277.0
1861,3333.0
1862,8718.0
1863,536.0
1864,17897.0
1865,2143.0
1866,472.0
1867,1647.0
1868,3825.0
1869,3758.0
1870,512.0
1871,804.0
1872,8623.0
1873,15154.0
1874,15154.0
1875,17075.0
1876,9710.0
1877,18759.0
1878,5733.0
1879,5733.0
1880,26637.0
1881,26637.0
1882,22363.0
1883,22363.0
1884,35557.0
1885,35557.0
1886,-1.0
1887,-1.0
1888,-1.0
1889,-1.0
1890,-1.0
1891,-1.0
