Grid_Number,Mum_popu_Government_Facilities
178,22318.0
179,29287.0
180,13810.0
181,11098.0
182,10349.0
183,11799.0
184,12523.0
185,8935.0
186,11220.0
187,11220.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,9390.0
193,430.0
194,1292.0
195,3049.0
196,1501.0
197,7545.0
198,3892.0
199,5216.0
200,2053.0
201,10716.0
202,1012.0
203,1878.0
204,-1.0
205,8525.0
206,6450.0
207,4414.0
208,3592.0
209,4588.0
210,744.0
211,4575.0
212,16282.0
213,10429.0
214,3494.0
215,1545.0
216,10465.0
217,19196.0
218,8555.0
219,7613.0
220,6427.0
221,10159.0
222,4981.0
223,2818.0
224,687.0
225,4266.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,2393.0
232,245.0
233,2696.0
234,2012.0
235,4658.0
236,3210.0
237,3333.0
238,4064.0
239,4830.0
240,2066.0
241,2619.0
242,2080.0
243,2818.0
244,1557.0
245,5504.0
246,7886.0
247,1906.0
248,10133.0
249,8729.0
250,15638.0
251,8006.0
252,3965.0
253,3118.0
254,7387.0
255,13254.0
256,13614.0
257,3330.0
258,6645.0
259,3497.0
260,5785.0
261,3869.0
262,3451.0
263,9700.0
264,-1.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,3401.0
270,4364.0
271,17723.0
272,4612.0
273,14139.0
274,7308.0
275,10672.0
276,3316.0
277,2423.0
278,4326.0
279,4177.0
280,2832.0
281,8875.0
282,349.0
283,7101.0
284,7453.0
285,11292.0
286,7700.0
287,5580.0
288,3825.0
289,4409.0
290,7570.0
291,7806.0
292,6990.0
293,5237.0
294,4924.0
295,1526.0
296,2071.0
297,4000.0
298,12774.0
299,5349.0
300,1614.0
301,9700.0
302,10366.0
303,-1.0
304,-1.0
305,-1.0
306,-1.0
307,4364.0
308,4364.0
309,17723.0
310,4612.0
311,9635.0
312,10696.0
313,31309.0
314,7125.0
315,6112.0
316,4297.0
317,8419.0
318,6661.0
319,5130.0
320,2706.0
321,8387.0
322,4575.0
323,9875.0
324,19537.0
325,7345.0
326,2149.0
327,6654.0
328,4585.0
329,1859.0
330,3834.0
331,2319.0
332,4619.0
333,8348.0
334,14150.0
335,4816.0
336,5695.0
337,5248.0
338,4645.0
339,6981.0
340,8751.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,10696.0
350,31309.0
351,31309.0
352,29228.0
353,30402.0
354,28720.0
355,8206.0
356,2016.0
357,5647.0
358,7828.0
359,3601.0
360,3353.0
361,14196.0
362,10582.0
363,7382.0
364,2424.0
365,3436.0
366,3631.0
367,8748.0
368,7111.0
369,20866.0
370,8788.0
371,14421.0
372,8205.0
373,3856.0
374,8238.0
375,11105.0
376,10151.0
377,9695.0
378,2199.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,30402.0
391,30402.0
392,34458.0
393,3176.0
394,2178.0
395,44224.0
396,3241.0
397,3259.0
398,6000.0
399,9043.0
400,27790.0
401,9887.0
402,5031.0
403,8340.0
404,4484.0
405,246.0
406,930.0
407,10598.0
408,3051.0
409,11997.0
410,6825.0
411,6618.0
412,8369.0
413,9977.0
414,9733.0
415,5733.0
416,8105.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,54483.0
430,54483.0
431,27028.0
432,32939.0
433,24356.0
434,5579.0
435,4184.0
436,6427.0
437,1748.0
438,2032.0
439,3699.0
440,6308.0
441,2965.0
442,1936.0
443,370.0
444,5243.0
445,4020.0
446,9430.0
447,9430.0
448,0.0
449,3771.0
450,8369.0
451,0.0
452,9733.0
453,5733.0
454,8795.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,-1.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,182003.0
468,182003.0
469,21603.0
470,4063.0
471,3276.0
472,3470.0
473,6948.0
474,17541.0
475,11090.0
476,3393.0
477,8733.0
478,5223.0
479,1999.0
480,11145.0
481,458.0
482,407.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,-1.0
491,-1.0
492,8795.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,-1.0
505,101487.0
506,101487.0
507,22385.0
508,16063.0
509,4827.0
510,11164.0
511,5937.0
512,5139.0
513,3852.0
514,7526.0
515,3198.0
516,15579.0
517,503.0
518,10738.0
519,0.0
520,0.0
521,0.0
522,0.0
523,71.0
524,0.0
525,134.0
526,0.0
527,0.0
528,0.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,682.0
535,682.0
536,-1.0
537,-1.0
538,-1.0
539,4744.0
540,4744.0
541,-1.0
542,-1.0
543,101487.0
544,101487.0
545,101487.0
546,17136.0
547,20169.0
548,2381.0
549,5316.0
550,10865.0
551,4156.0
552,1393.0
553,4796.0
554,5216.0
555,9281.0
556,10807.0
557,1604.0
558,0.0
559,10580.0
560,71.0
561,71.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,-1.0
568,-1.0
569,-1.0
570,-1.0
571,682.0
572,682.0
573,265.0
574,-1.0
575,-1.0
576,4744.0
577,4744.0
578,4744.0
579,-1.0
580,-1.0
581,-1.0
582,101487.0
583,20154.0
584,20154.0
585,29053.0
586,7859.0
587,6551.0
588,17424.0
589,16054.0
590,14867.0
591,4947.0
592,1089.0
593,1554.0
594,15586.0
595,3047.0
596,2672.0
597,14219.0
598,417.0
599,417.0
600,0.0
601,38.0
602,38.0
603,0.0
604,0.0
605,-1.0
606,-1.0
607,-1.0
608,-1.0
609,-1.0
610,265.0
611,265.0
612,-1.0
613,-1.0
614,4744.0
615,4744.0
616,-1.0
617,-1.0
618,-1.0
619,-1.0
620,-1.0
621,29514.0
622,29514.0
623,10206.0
624,4811.0
625,37114.0
626,37114.0
627,46539.0
628,46539.0
629,26161.0
630,6278.0
631,10022.0
632,11530.0
633,1050.0
634,4782.0
635,5965.0
636,4974.0
637,4344.0
638,1414.0
639,3493.0
640,38.0
641,38.0
642,0.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,265.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,-1.0
655,-1.0
656,-1.0
657,-1.0
658,-1.0
659,-1.0
660,4752.0
661,36999.0
662,34436.0
663,13432.0
664,37114.0
665,46539.0
666,46539.0
667,24135.0
668,13053.0
669,33413.0
670,22545.0
671,7825.0
672,16004.0
673,6863.0
674,3118.0
675,7651.0
676,868.0
677,3493.0
678,2430.0
679,2430.0
680,5825.0
681,-1.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,-1.0
690,-1.0
691,-1.0
692,-1.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,-1.0
698,7912.0
699,36999.0
700,34436.0
701,-1.0
702,-1.0
703,-1.0
704,-1.0
705,24135.0
706,23405.0
707,33413.0
708,22545.0
709,58456.0
710,51477.0
711,22835.0
712,2783.0
713,7085.0
714,4641.0
715,3391.0
716,1051.0
717,5825.0
718,2896.0
719,2896.0
720,-1.0
721,-1.0
722,-1.0
723,-1.0
724,1660.0
725,-1.0
726,-1.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,-1.0
737,36999.0
738,-1.0
739,-1.0
740,-1.0
741,-1.0
742,-1.0
743,-1.0
744,-1.0
745,-1.0
746,58456.0
747,58456.0
748,51477.0
749,10267.0
750,13453.0
751,7556.0
752,2934.0
753,8294.0
754,6577.0
755,3829.0
756,2896.0
757,6508.0
758,1638.0
759,3868.0
760,-1.0
761,508.0
762,4066.0
763,-1.0
764,-1.0
765,-1.0
766,-1.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,-1.0
778,-1.0
779,-1.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,58456.0
786,6640.0
787,20043.0
788,25573.0
789,2324.0
790,173.0
791,2000.0
792,4653.0
793,2692.0
794,4609.0
795,1684.0
796,2750.0
797,1819.0
798,-1.0
799,-1.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,-1.0
806,-1.0
807,-1.0
808,-1.0
809,-1.0
810,-1.0
811,-1.0
812,-1.0
813,-1.0
814,-1.0
815,-1.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,-1.0
825,20043.0
826,-1.0
827,-1.0
828,4401.0
829,-1.0
830,-1.0
831,5197.0
832,-1.0
833,-1.0
834,-1.0
835,-1.0
