Grid_Number,Gur_n_Connectivity
0,1.0
1,0.0
2,2.0
3,2.0
4,2.0
5,0.0
6,0.0
7,0.0
8,0.0
9,2.0
10,1.0
11,1.0
12,1.0
13,1.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1.0
21,1.0
22,1.0
23,1.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,1.0
34,1.0
35,0.0
36,2.0
37,2.0
38,2.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,2.0
45,2.0
46,1.0
47,1.0
48,1.0
49,1.0
50,0.0
51,0.0
52,0.0
53,0.0
54,1.0
55,1.0
56,1.0
57,1.0
58,1.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,1.0
69,1.0
70,2.0
71,2.0
72,2.0
73,2.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,2.0
80,2.0
81,2.0
82,1.0
83,1.0
84,1.0
85,1.0
86,0.0
87,0.0
88,0.0
89,0.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,1.0
104,1.0
105,2.0
106,2.0
107,2.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,3.0
114,2.0
115,2.0
116,2.0
117,1.0
118,1.0
119,1.0
120,1.0
121,1.0
122,0.0
123,0.0
124,0.0
125,0.0
126,1.0
127,1.0
128,1.0
129,1.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,1.0
139,1.0
140,1.0
141,2.0
142,2.0
143,0.0
144,0.0
145,0.0
146,0.0
147,3.0
148,3.0
149,2.0
150,3.0
151,3.0
152,2.0
153,2.0
154,1.0
155,1.0
156,1.0
157,1.0
158,0.0
159,0.0
160,0.0
161,0.0
162,1.0
163,1.0
164,1.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,1.0
173,1.0
174,1.0
175,1.0
176,2.0
177,2.0
178,0.0
179,0.0
180,0.0
181,3.0
182,3.0
183,2.0
184,3.0
185,3.0
186,0.0
187,3.0
188,2.0
189,2.0
190,1.0
191,1.0
192,1.0
193,1.0
194,0.0
195,0.0
196,0.0
197,0.0
198,1.0
199,1.0
200,1.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,1.0
207,1.0
208,1.0
209,0.0
210,1.0
211,1.0
212,2.0
213,0.0
214,0.0
215,3.0
216,3.0
217,3.0
218,3.0
219,3.0
220,0.0
221,4.0
222,3.0
223,3.0
224,2.0
225,2.0
226,1.0
227,1.0
228,1.0
229,1.0
230,0.0
231,0.0
232,0.0
233,0.0
234,1.0
235,1.0
236,1.0
237,1.0
238,1.0
239,1.0
240,1.0
241,1.0
242,1.0
243,0.0
244,0.0
245,1.0
246,1.0
247,1.0
248,1.0
249,3.0
250,2.0
251,2.0
252,2.0
253,3.0
254,0.0
255,4.0
256,3.0
257,3.0
258,4.0
259,1.0
260,0.0
261,2.0
262,1.0
263,1.0
264,1.0
265,1.0
266,0.0
267,0.0
268,0.0
269,0.0
270,1.0
271,1.0
272,1.0
273,1.0
274,1.0
275,1.0
276,1.0
277,0.0
278,0.0
279,0.0
280,0.0
281,1.0
282,1.0
283,1.0
284,2.0
285,2.0
286,2.0
287,2.0
288,0.0
289,4.0
290,4.0
291,3.0
292,4.0
293,1.0
294,1.0
295,1.0
296,2.0
297,2.0
298,1.0
299,1.0
300,1.0
301,1.0
302,0.0
303,0.0
304,0.0
305,0.0
306,1.0
307,1.0
308,1.0
309,1.0
310,1.0
311,0.0
312,0.0
313,0.0
314,0.0
315,1.0
316,0.0
317,1.0
318,1.0
319,1.0
320,1.0
321,2.0
322,2.0
323,4.0
324,3.0
325,3.0
326,4.0
327,1.0
328,1.0
329,1.0
330,4.0
331,3.0
332,2.0
333,2.0
334,1.0
335,1.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,1.0
343,1.0
344,1.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,1.0
351,1.0
352,0.0
353,1.0
354,1.0
355,1.0
356,1.0
357,2.0
358,3.0
359,3.0
360,2.0
361,0.0
362,0.0
363,0.0
364,3.0
365,3.0
366,3.0
367,3.0
368,2.0
369,1.0
370,1.0
371,1.0
372,0.0
373,0.0
374,0.0
375,0.0
376,1.0
377,0.0
378,1.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,1.0
386,1.0
387,1.0
388,0.0
389,1.0
390,1.0
391,2.0
392,2.0
393,3.0
394,2.0
395,0.0
396,0.0
397,0.0
